"행정구역별(읍면동)","연령별",2017,2018,2019,2020,2021
"행정구역별(읍면동)","연령별",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"전라남도","5~9세",77847,77366,76356,75394,72690
"전라남도","10~14세",77604,76336,74812,76877,78516
"전라남도","15~19세",101276,95929,89719,82241,76785
"전라남도","20~24세",99316,100089,98558,97640,91569
"전라남도","25~29세",85448,89241,93860,96754,96458
"전라남도","30~34세",92737,87812,85624,84693,83905
"전라남도","35~39세",116128,116372,112547,106686,100987
"전라남도","40~44세",122230,117596,115357,116437,116676
"전라남도","45~49세",144949,142245,140542,136028,129210
"전라남도","50~54세",143640,145188,147736,148786,150362
"전라남도","55~59세",153229,155654,153304,150095,148699
"전라남도","60~64세",119939,129201,137983,146835,155641
"전라남도","65~69세",104820,103484,104778,110813,115614
"전라남도","70~74세",89148,90013,93776,97589,100699
"전라남도","75~79세",94255,93396,89749,87277,83680
"전라남도","80~84세",59382,62349,65352,68307,71450
"전라남도","85~89세",29278,30869,33277,34983,37653
"전라남도","90~94세",8387,8805,10091,11952,13186
"전라남도","95~99세",2023,2422,2424,2577,2618
"전라남도","100세이상",220,256,268,354,391
"전라남도","15세미만",225914,219431,212598,208760,202541
"전라남도","15~64세",1178892,1179327,1175230,1166195,1150292
"전라남도","65세이상",387513,391594,399715,413852,425291
"전라남도","85세이상",39908,42352,46060,49866,53848
"전라남도","평균연령",45.0,45.4,45.9,46.5,47.1
"전라남도","중위연령",46.9,47.5,48.1,48.8,49.7
"경상북도","합계",2677058,2672902,2668154,2644757,2635314
"경상북도","0~4세",103922,97377,90733,81604,73598
"경상북도","5~9세",110300,109324,109118,108372,105766
"경상북도","10~14세",107806,106938,105725,106715,108503
"경상북도","15~19세",149154,141480,133650,120322,114129
"경상북도","20~24세",171472,169986,164796,158436,151918
"경상북도","25~29세",148590,149950,151259,149097,147747
"경상북도","30~34세",154975,147935,143954,139326,137861
"경상북도","35~39세",184749,185527,180096,168255,158775
"경상북도","40~44세",188431,181216,176851,176603,179404
"경상북도","45~49세",217952,213609,210989,204225,195476
"경상북도","50~54세",213011,215833,220540,221464,223263
"경상북도","55~59세",235410,238106,234911,228605,221816
"경상북도","60~64세",192462,201152,211954,224079,235949
"경상북도","65~69세",149198,153733,159098,171491,184723
"경상북도","70~74세",110423,112399,119058,127172,135926
"경상북도","75~79세",114546,116467,113723,109622,103376
"경상북도","80~84세",75849,79482,84217,86044,88039
"경상북도","85~89세",34732,37215,40928,45238,49401
"경상북도","90~94세",11293,12151,13401,14643,15911
"경상북도","95~99세",2508,2712,2812,3051,3265
"경상북도","100세이상",275,310,341,393,468
"경상북도","15세미만",322028,313639,305576,296691,287867
"경상북도","15~64세",1856206,1844794,1829000,1790412,1766338
"경상북도","65세이상",498824,514469,533578,557654,581109
"경상북도","85세이상",48808,52388,57482,63325,69045
"경상북도","평균연령",43.9,44.4,45.0,45.7,46.3
"경상북도","중위연령",45.5,46.1,46.9,47.9,48.7
